"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Nova Clinic Ltd.","Services Professionnels","Marketing & Advertising","Tétouan","73 Bd Anfa, Tétouan, Morocco","Entreprise du secteur Marketing & Advertising basée à Tétouan.","","","false","none","Marketing & Advertising,Tétouan"
"Al Nour Healthcare Technologies","Santé & Bien-être","Healthcare","Berkane","117 Bd Mohammed V, Berkane, Morocco","Entreprise du secteur Healthcare basée à Berkane.","","","false","none","Healthcare,Berkane"
"Premium Partners SAS","Services Professionnels","Cleaning Services","Temara","138 Rue Moulay Youssef, Temara, Morocco","Entreprise du secteur Cleaning Services basée à Temara.","","","false","none","Cleaning Services,Temara"
"Apex Trade Nettoyage","Industrie & Chimie","Mining","Errachidia","106 Bd Moulay Ismail, Errachidia, Morocco","Entreprise du secteur Mining basée à Errachidia.","","","false","none","Mining,Errachidia"
"Al Kheir Avenir Guelmim Immobilier","Banque & Finance","Accounting & Audit","Guelmim","195 Bd Abdelmoumen, Guelmim, Morocco","Entreprise du secteur Accounting & Audit basée à Guelmim.","","","false","none","Accounting & Audit,Guelmim"
"Al Waha Conseil SARL","Immobilier & Construction","Construction","Oujda","52 Bd Abdelmoumen, Oujda, Morocco","Entreprise du secteur Construction basée à Oujda.","","","false","none","Construction,Oujda"
"Agadir Construction Khouribga","Distribution & Commerce","E-commerce","Khouribga","118 Bd Abdelmoumen, Khouribga, Morocco","Entreprise du secteur E-commerce basée à Khouribga.","","","false","none","E-commerce,Khouribga"
"Al Maghrib Resort Guelmim","Industrie & Chimie","Printing & Packaging","Guelmim","34 Rue Ibn Sina, Guelmim, Morocco","Entreprise du secteur Printing & Packaging basée à Guelmim.","","","false","none","Printing & Packaging,Guelmim"
"Al Amal Holding Co.","Immobilier & Construction","Real Estate","Khemisset","179 Av Al Qods, Khemisset, Morocco","Entreprise du secteur Real Estate basée à Khemisset.","","","false","none","Real Estate,Khemisset"
"Marocain Trade Tanger Logistique","Banque & Finance","Banking","Tanger","38 Bd Abdelmoumen, Tanger, Morocco","Entreprise du secteur Banking basée à Tanger.","","","false","none","Banking,Tanger"
"Groupe Maroc Green Co.","Industrie & Chimie","Agriculture","Berkane","198 Bd Anfa, Berkane, Morocco","Entreprise du secteur Agriculture basée à Berkane.","","","false","none","Agriculture,Berkane"
"Al Wifaq Connect Tanger Nettoyage","Banque & Finance","Banking","Tanger","187 Bd Zerktouni, Tanger, Morocco","Entreprise du secteur Banking basée à Tanger.","","","false","none","Banking,Tanger"
"Groupe Al Fath Prime Co.","Banque & Finance","Insurance","Agadir","184 Rue Al Massira, Agadir, Morocco","Entreprise du secteur Insurance basée à Agadir.","","","false","none","Insurance,Agadir"
"Al Wifaq Market Khemisset","Banque & Finance","Banking","Khemisset","34 Bd Anfa, Khemisset, Morocco","Entreprise du secteur Banking basée à Khemisset.","","","false","none","Banking,Khemisset"
"Rif Royal Ksar El Kebir Trading","Services Professionnels","Maintenance Services","Ksar El Kebir","65 Bd Abdelmoumen, Ksar El Kebir, Morocco","Entreprise du secteur Maintenance Services basée à Ksar El Kebir.","","","false","none","Maintenance Services,Ksar El Kebir"
"Omega Cleaning Services Consulting","Services Professionnels","Cleaning Services","Kenitra","13 Bd Abdelmoumen, Kenitra, Morocco","Entreprise du secteur Cleaning Services basée à Kenitra.","","","false","none","Cleaning Services,Kenitra"
"Union Prime Marrakech Conseil","Industrie & Chimie","Automotive","Marrakech","188 Bd Moulay Ismail, Marrakech, Morocco","Entreprise du secteur Automotive basée à Marrakech.","","","false","none","Automotive,Marrakech"
"Groupe Al Prime SAS","Banque & Finance","Insurance","Dakhla","29 Av Al Qods, Dakhla, Morocco","Entreprise du secteur Insurance basée à Dakhla.","","","false","none","Insurance,Dakhla"
"Al Yassir Partenaires Ltd.","Industrie & Chimie","Manufacturing","Dakhla","64 Bd Anfa, Dakhla, Morocco","Entreprise du secteur Manufacturing basée à Dakhla.","","","false","none","Manufacturing,Dakhla"
"Marocain Digital Co.","Services Professionnels","Security Services","Settat","19 Bd Abdelmoumen, Settat, Morocco","Entreprise du secteur Security Services basée à Settat.","","","false","none","Security Services,Settat"
"Sahara Partners Settat","Éducation & Formation","Education","Settat","118 Bd Abdelmoumen, Settat, Morocco","Entreprise du secteur Education basée à Settat.","","","false","none","Education,Settat"
"Alpha Industries Ltd.","Services Professionnels","Cleaning Services","Kenitra","36 Bd Zerktouni, Kenitra, Morocco","Entreprise du secteur Cleaning Services basée à Kenitra.","","","false","none","Cleaning Services,Kenitra"
"Orient Textiles Resort","Industrie & Chimie","Textiles","Casablanca","14 Rue Ibn Sina, Casablanca, Morocco","Entreprise du secteur Textiles basée à Casablanca.","","","false","none","Textiles,Casablanca"
"Groupe Casa Media Co.","Distribution & Commerce","Retail","Kenitra","144 Av Mohammed VI, Kenitra, Morocco","Entreprise du secteur Retail basée à Kenitra.","","","false","none","Retail,Kenitra"
"Orient Plus Tétouan Academy","Technologie & IT","IT & Software","Tétouan","70 Rue Ibn Sina, Tétouan, Morocco","Entreprise du secteur IT & Software basée à Tétouan.","","","false","none","IT & Software,Tétouan"
"Horizon Centre Ltd.","Industrie & Chimie","Pharmaceuticals","Taza","126 Rue Al Massira, Taza, Morocco","Entreprise du secteur Pharmaceuticals basée à Taza.","","","false","none","Pharmaceuticals,Taza"
"Al Maghrib Consulting Industry","Services Professionnels","Consulting","Ouarzazate","90 Av Hassan II, Ouarzazate, Morocco","Entreprise du secteur Consulting basée à Ouarzazate.","","","false","none","Consulting,Ouarzazate"
"Nour Fusion Dakhla Trading","Industrie & Chimie","Printing & Packaging","Dakhla","76 Av Fal Ould Oumeir, Dakhla, Morocco","Entreprise du secteur Printing & Packaging basée à Dakhla.","","","false","none","Printing & Packaging,Dakhla"
"Groupe Import/Export Digital","Distribution & Commerce","Import/Export","Béni Mellal","16 Bd Moulay Ismail, Béni Mellal, Morocco","Entreprise du secteur Import/Export basée à Béni Mellal.","","","false","none","Import/Export,Béni Mellal"
"Maroc Care Technologies","Distribution & Commerce","Retail","Khouribga","161 Av Hassan II, Khouribga, Morocco","Entreprise du secteur Retail basée à Khouribga.","","","false","none","Retail,Khouribga"
"Al Manar Nova Taza Construction","Distribution & Commerce","E-commerce","Taza","143 Rue Moulay Youssef, Taza, Morocco","Entreprise du secteur E-commerce basée à Taza.","","","false","none","E-commerce,Taza"
"Al Amal Import/Export Group","Distribution & Commerce","Import/Export","Larache","111 Rue Al Massira, Larache, Morocco","Entreprise du secteur Import/Export basée à Larache.","","","false","none","Import/Export,Larache"
"Al Massar Connect Industry","Banque & Finance","Insurance","Nador","26 Rue Al Massira, Nador, Morocco","Entreprise du secteur Insurance basée à Nador.","","","false","none","Insurance,Nador"
"Union Park Immobilier","Énergie & Environnement","Energy","Casablanca","57 Av Hassan II, Casablanca, Morocco","Entreprise du secteur Energy basée à Casablanca.","","","false","none","Energy,Casablanca"
"Al Bahja Industry SAS","Santé & Bien-être","Healthcare","Meknès","115 Bd Zerktouni, Meknès, Morocco","Entreprise du secteur Healthcare basée à Meknès.","","","false","none","Healthcare,Meknès"
"Dar Al Print Ltd.","Immobilier & Construction","Construction","Casablanca","132 Bd Zerktouni, Casablanca, Morocco","Entreprise du secteur Construction basée à Casablanca.","","","false","none","Construction,Casablanca"
"Alpha Centre Oujda","Industrie & Chimie","Automotive","Oujda","29 Av Fal Ould Oumeir, Oujda, Morocco","Entreprise du secteur Automotive basée à Oujda.","","","false","none","Automotive,Oujda"
