name,category,subcategory,city,location,description,phone,website,is_premium,tier,tags
Al Maghrib Royal Oujda Technologies,Industrie & Chimie,Textiles,Oujda,"58 Av Hassan II, Oujda, Morocco",Entreprise du secteur Textiles basée à Oujda.,,,false,none,"Textiles,Oujda"
Sahara Resort SARL AU,Services Professionnels,Engineering,La�youne,"8 Av Mohammed VI, La�youne, Morocco",Entreprise du secteur Engineering basée à La�youne.,,,false,none,"Engineering,La�youne"
Elite Sud Market,Services Professionnels,Security Services,Khouribga,"30 Rue Moulay Youssef, Khouribga, Morocco",Entreprise du secteur Security Services basée à Khouribga.,,,false,none,"Security Services,Khouribga"
Marrakech Construction Ltd.,Industrie & Chimie,Textiles,Mohammedia,"155 Bd Zerktouni, Mohammedia, Morocco",Entreprise du secteur Textiles basée à Mohammedia.,,,false,none,"Textiles,Mohammedia"
Maghreb BPO / Call Center Group,Centres d'Appel & BPO,BPO / Call Center,Safi,"7 Rue Al Massira, Safi, Morocco",Entreprise du secteur BPO / Call Center basée à Safi.,,,false,none,"BPO / Call Center,Safi"
Al Amal Hospital Temara,Distribution & Commerce,Import/Export,Temara,"149 Av Fal Ould Oumeir, Temara, Morocco",Entreprise du secteur Import/Export basée à Temara.,,,false,none,"Import/Export,Temara"
Groupe Dynamiq Capital Ltd.,Services Professionnels,Maintenance Services,Casablanca,"43 Bd Moulay Ismail, Casablanca, Morocco",Entreprise du secteur Maintenance Services basée à Casablanca.,,,false,none,"Maintenance Services,Casablanca"
Maroc Immobilier Meknès,Services Professionnels,Legal Services,Meknès,"139 Av Al Qods, Meknès, Morocco",Entreprise du secteur Legal Services basée à Meknès.,,,false,none,"Legal Services,Meknès"
Al Atlas Store Co.,Industrie & Chimie,Pharmaceuticals,Berkane,"177 Bd Anfa, Berkane, Morocco",Entreprise du secteur Pharmaceuticals basée à Berkane.,,,false,none,"Pharmaceuticals,Berkane"
Al Baraka Tech Clinic,Industrie & Chimie,Mining,Béni Mellal,"69 Bd Abdelmoumen, Béni Mellal, Morocco",Entreprise du secteur Mining basée à Béni Mellal.,,,false,none,"Mining,Béni Mellal"
Al Waha Mining Nettoyage,Industrie & Chimie,Mining,Khemisset,"21 Bd Moulay Ismail, Khemisset, Morocco",Entreprise du secteur Mining basée à Khemisset.,,,false,none,"Mining,Khemisset"
Vertex Education Industry,Éducation & Formation,Education,Casablanca,"1 Rue Al Massira, Casablanca, Morocco",Entreprise du secteur Education basée à Casablanca.,,,false,none,"Education,Casablanca"
Dynamiq Park Berkane Industries,Centres d'Appel & BPO,BPO / Call Center,Berkane,"70 Bd Zerktouni, Berkane, Morocco",Entreprise du secteur BPO / Call Center basée à Berkane.,,,false,none,"BPO / Call Center,Berkane"
Elite Transport Ltd.,Services Professionnels,Consulting,Dakhla,"175 Rue Al Massira, Dakhla, Morocco",Entreprise du secteur Consulting basée à Dakhla.,,,false,none,"Consulting,Dakhla"
Dar Prime Mohammedia Systems,Industrie & Chimie,Printing & Packaging,Mohammedia,"132 Bd Moulay Ismail, Mohammedia, Morocco",Entreprise du secteur Printing & Packaging basée à Mohammedia.,,,false,none,"Printing & Packaging,Mohammedia"
Nova Plus Béni Mellal Systems,Services Professionnels,Marketing & Advertising,Béni Mellal,"51 Rue Ibn Sina, Béni Mellal, Morocco",Entreprise du secteur Marketing & Advertising basée à Béni Mellal.,,,false,none,"Marketing & Advertising,Béni Mellal"
Al Waha Immobilier Tanger,Technologie & IT,IT & Software,Tanger,"55 Av Fal Ould Oumeir, Tanger, Morocco",Entreprise du secteur IT & Software basée à Tanger.,,,false,none,"IT & Software,Tanger"
Groupe Casaworks Avenir SARL,Industrie & Chimie,Manufacturing,Nador,"75 Bd Moulay Ismail, Nador, Morocco",Entreprise du secteur Manufacturing basée à Nador.,,,false,none,"Manufacturing,Nador"
Union Partners Berkane,Énergie & Environnement,Energy,Berkane,"187 Rue Moulay Youssef, Berkane, Morocco",Entreprise du secteur Energy basée à Berkane.,,,false,none,"Energy,Berkane"
Sahara Direct Berkane Labs,Services Professionnels,Maintenance Services,Berkane,"87 Bd Moulay Ismail, Berkane, Morocco",Entreprise du secteur Maintenance Services basée à Berkane.,,,false,none,"Maintenance Services,Berkane"
Marrakech E-commerce Services,Distribution & Commerce,E-commerce,Khemisset,"81 Av Fal Ould Oumeir, Khemisset, Morocco",Entreprise du secteur E-commerce basée à Khemisset.,,,false,none,"E-commerce,Khemisset"
Groupe Al Moutamayyiz Express Co.,Technologie & IT,Telecom,Tétouan,"49 Bd Anfa, Tétouan, Morocco",Entreprise du secteur Telecom basée à Tétouan.,,,false,none,"Telecom,Tétouan"
Groupe Ibn Build SARL,Énergie & Environnement,Energy,Meknès,"8 Rue Ibn Sina, Meknès, Morocco",Entreprise du secteur Energy basée à Meknès.,,,false,none,"Energy,Meknès"
Al Ibtikar Holding SAS,Services Professionnels,Consulting,Mohammedia,"137 Av Fal Ould Oumeir, Mohammedia, Morocco",Entreprise du secteur Consulting basée à Mohammedia.,,,false,none,"Consulting,Mohammedia"
Dar Al Impact Distribution,Industrie & Chimie,Mining,Mohammedia,"79 Av Al Qods, Mohammedia, Morocco",Entreprise du secteur Mining basée à Mohammedia.,,,false,none,"Mining,Mohammedia"
Marocain Maintenance SARL AU,Santé & Bien-être,Healthcare,Rabat,"177 Bd Mohammed V, Rabat, Morocco",Entreprise du secteur Healthcare basée à Rabat.,,,false,none,"Healthcare,Rabat"
Groupe Atlas Media Ltd.,Industrie & Chimie,Manufacturing,Tétouan,"107 Bd Zerktouni, Tétouan, Morocco",Entreprise du secteur Manufacturing basée à Tétouan.,,,false,none,"Manufacturing,Tétouan"
Al Nour Sud Fès Sécurité,Services Professionnels,Legal Services,Fès,"68 Av Mohammed VI, Fès, Morocco",Entreprise du secteur Legal Services basée à Fès.,,,false,none,"Legal Services,Fès"
Rif Connect Partners,Centres d'Appel & BPO,BPO / Call Center,Agadir,"144 Bd Abdelmoumen, Agadir, Morocco",Entreprise du secteur BPO / Call Center basée à Agadir.,,,false,none,"BPO / Call Center,Agadir"
Al Ibtikar Accounting Industries,Banque & Finance,Accounting & Audit,Taza,"70 Av Mohammed VI, Taza, Morocco",Entreprise du secteur Accounting & Audit basée à Taza.,,,false,none,"Accounting & Audit,Taza"
Amazigh Innov Berkane Trading,Immobilier & Construction,Real Estate,Berkane,"75 Rue Ibn Sina, Berkane, Morocco",Entreprise du secteur Real Estate basée à Berkane.,,,false,none,"Real Estate,Berkane"
Al Maghrib Labs Errachidia,Services Professionnels,Maintenance Services,Errachidia,"158 Bd Abdelmoumen, Errachidia, Morocco",Entreprise du secteur Maintenance Services basée à Errachidia.,,,false,none,"Maintenance Services,Errachidia"
Al Amal Clinic Meknès,Énergie & Environnement,Energy,Meknès,"67 Bd Moulay Ismail, Meknès, Morocco",Entreprise du secteur Energy basée à Meknès.,,,false,none,"Energy,Meknès"
Al Nour Retail Pharma,Distribution & Commerce,Retail,Nador,"15 Av Fal Ould Oumeir, Nador, Morocco",Entreprise du secteur Retail basée à Nador.,,,false,none,"Retail,Nador"
Dar Sécurité Larache,Éducation & Formation,Education,Larache,"27 Av Hassan II, Larache, Morocco",Entreprise du secteur Education basée à Larache.,,,false,none,"Education,Larache"
Nour Marketing Foods,Services Professionnels,Marketing & Advertising,Rabat,"17 Av Hassan II, Rabat, Morocco",Entreprise du secteur Marketing & Advertising basée à Rabat.,,,false,none,"Marketing & Advertising,Rabat"
Tanger IT Maintenance,Technologie & IT,IT & Software,Fès,"160 Bd Mohammed V, Fès, Morocco",Entreprise du secteur IT & Software basée à Fès.,,,false,none,"IT & Software,Fès"
Elite Marketing Engineering,Services Professionnels,Marketing & Advertising,Casablanca,"105 Av Al Qods, Casablanca, Morocco",Entreprise du secteur Marketing & Advertising basée à Casablanca.,,,false,none,"Marketing & Advertising,Casablanca"
Marrakech Université Privée Mohammedia,Industrie & Chimie,Mining,Mohammedia,"170 Bd Abdelmoumen, Mohammedia, Morocco",Entreprise du secteur Mining basée à Mohammedia.,,,false,none,"Mining,Mohammedia"
Al Maghrib Media Agadir Construction,Banque & Finance,Insurance,Agadir,"139 Av Al Qods, Agadir, Morocco",Entreprise du secteur Insurance basée à Agadir.,,,false,none,"Insurance,Agadir"
Tanger Packaging Temara,Immobilier & Construction,Construction,Temara,"83 Bd Abdelmoumen, Temara, Morocco",Entreprise du secteur Construction basée à Temara.,,,false,none,"Construction,Temara"
Groupe Al Kheir Pro SAS,Immobilier & Construction,Real Estate,Agadir,"95 Bd Zerktouni, Agadir, Morocco",Entreprise du secteur Real Estate basée à Agadir.,,,false,none,"Real Estate,Agadir"
Global Express Meknès Centre,Technologie & IT,IT & Software,Meknès,"140 Av Fal Ould Oumeir, Meknès, Morocco",Entreprise du secteur IT & Software basée à Meknès.,,,false,none,"IT & Software,Meknès"
Marrakech Cleaning Services Partners,Services Professionnels,Cleaning Services,Ouarzazate,"187 Rue Moulay Youssef, Ouarzazate, Morocco",Entreprise du secteur Cleaning Services basée à Ouarzazate.,,,false,none,"Cleaning Services,Ouarzazate"
Agadir Avenir Industry,Technologie & IT,IT & Software,Ifrane,"86 Rue Al Massira, Ifrane, Morocco",Entreprise du secteur IT & Software basée à Ifrane.,,,false,none,"IT & Software,Ifrane"
Groupe Al Bahja Express SARL AU,Industrie & Chimie,Textiles,La�youne,"115 Av Mohammed VI, La�youne, Morocco",Entreprise du secteur Textiles basée à La�youne.,,,false,none,"Textiles,La�youne"
Rabat Retail Academy,Distribution & Commerce,Retail,Safi,"1 Av Mohammed VI, Safi, Morocco",Entreprise du secteur Retail basée à Safi.,,,false,none,"Retail,Safi"
Al Yassir Market SAS,Centres d'Appel & BPO,BPO / Call Center,Casablanca,"46 Bd Mohammed V, Casablanca, Morocco",Entreprise du secteur BPO / Call Center basée à Casablanca.,,,false,none,"BPO / Call Center,Casablanca"
Al Yassir Capital Taza Logistique,Santé & Bien-être,Healthcare,Taza,"142 Av Fal Ould Oumeir, Taza, Morocco",Entreprise du secteur Healthcare basée à Taza.,,,false,none,"Healthcare,Taza"
Andalous Nord Ouarzazate Hospital,Centres d'Appel & BPO,BPO / Call Center,Ouarzazate,"79 Rue Ibn Sina, Ouarzazate, Morocco",Entreprise du secteur BPO / Call Center basée à Ouarzazate.,,,false,none,"BPO / Call Center,Ouarzazate"
