file,line,string,suggested_key
"src/app/(admin)/admin/analytics/page.tsx",103,"Chargement des données...","adminAdminAnalytics.chargement.donnees"
"src/app/(admin)/admin/analytics/page.tsx",112,"Données indisponibles","adminAdminAnalytics.donnees.indisponibles"
"src/app/(admin)/admin/analytics/page.tsx",113,"Impossible de récupérer les statistiques pour le moment.","adminAdminAnalytics.impossible.recuperer.statistiques.pour.moment"
"src/app/(admin)/admin/analytics/page.tsx",127,"Insights Hub","adminAdminAnalytics.insights.hub"
"src/app/(admin)/admin/analytics/page.tsx",128,"Analyse de Performance","adminAdminAnalytics.analyse.performance"
"src/app/(admin)/admin/analytics/page.tsx",129,"Visualisez l'évolution et l'engagement de votre plateforme","adminAdminAnalytics.visualisez.l.evolution.l.engagement"
"src/app/(admin)/admin/analytics/page.tsx",138,"7 derniers jours","adminAdminAnalytics.7.derniers.jours"
"src/app/(admin)/admin/analytics/page.tsx",139,"30 derniers jours","adminAdminAnalytics.30.derniers.jours"
"src/app/(admin)/admin/analytics/page.tsx",140,"90 derniers jours","adminAdminAnalytics.90.derniers.jours"
"src/app/(admin)/admin/analytics/page.tsx",141,"L'année dernière","adminAdminAnalytics.l.annee.derniere"
"src/app/(admin)/admin/analytics/page.tsx",154,"Utilisateurs Totaux","adminAdminAnalytics.utilisateurs.totaux"
"src/app/(admin)/admin/analytics/page.tsx",155,"Utilisateurs Actifs","adminAdminAnalytics.utilisateurs.actifs"
"src/app/(admin)/admin/analytics/page.tsx",156,"Recherches Totales","adminAdminAnalytics.recherches.totales"
"src/app/(admin)/admin/analytics/page.tsx",157,"Revenus Estimés (Premium)","adminAdminAnalytics.revenus.estimes.premium"
"src/app/(admin)/admin/analytics/page.tsx",182,"Vue d'ensemble","adminAdminAnalytics.vue.d.ensemble"
"src/app/(admin)/admin/analytics/page.tsx",192,"Tendance de croissance","adminAdminAnalytics.tendance.croissance"
"src/app/(admin)/admin/analytics/page.tsx",193,"Évolution mensuelle des nouveaux utilisateurs","adminAdminAnalytics.evolution.mensuelle.nouveaux.utilisateurs"
"src/app/(admin)/admin/analytics/page.tsx",219,"Répartition par Ville","adminAdminAnalytics.repartition.ville"
"src/app/(admin)/admin/analytics/page.tsx",220,"Concentration géographique des entreprises","adminAdminAnalytics.concentration.geographique.entreprises"
"src/app/(admin)/admin/analytics/page.tsx",250,"Engagement Utilisateurs","adminAdminAnalytics.engagement.utilisateurs"
"src/app/(admin)/admin/analytics/page.tsx",251,"Flux d'acquisition sur les 6 derniers mois","adminAdminAnalytics.flux.d.acquisition.6.derniers"
"src/app/(admin)/admin/analytics/page.tsx",274,"Croissance Pro","adminAdminAnalytics.croissance.pro"
"src/app/(admin)/admin/analytics/page.tsx",275,"Nouvelles entreprises par mois","adminAdminAnalytics.nouvelles.entreprises.mois"
"src/app/(admin)/admin/analytics/page.tsx",301,"Engagement Propriétaires","adminAdminAnalytics.engagement.proprietaires"
"src/app/(admin)/admin/analytics/page.tsx",305,"Taux de revendication estimé","adminAdminAnalytics.taux.revendication.estime"
"src/app/(admin)/admin/analytics/page.tsx",323,"Volumes de Recherche","adminAdminAnalytics.volumes.recherche"
"src/app/(admin)/admin/analytics/page.tsx",324,"Évolution des requêtes sur 6 mois","adminAdminAnalytics.evolution.requetes.6.mois"
"src/app/(admin)/admin/analytics/page.tsx",347,"Top Mots-Clés","adminAdminAnalytics.top.mots.cles"
"src/app/(admin)/admin/analytics/page.tsx",348,"Requêtes les plus fréquentes","adminAdminAnalytics.requetes.plus.frequentes"
"src/app/(admin)/admin/audit/page.tsx",130,"Impossible de charger certains profils admin.","adminAdminAudit.impossible.charger.certains.profils.admin"
"src/app/(admin)/admin/audit/page.tsx",166,"Audit logs","adminAdminAudit.audit.logs"
"src/app/(admin)/admin/audit/page.tsx",167,"Timeline unifiee des actions admin et bulk operations.","adminAdminAudit.timeline.unifiee.actions.admin.bulk"
"src/app/(admin)/admin/audit/page.tsx",175,"Actions ce mois","adminAdminAudit.actions.ce.mois"
"src/app/(admin)/admin/audit/page.tsx",181,"Admins actifs","adminAdminAudit.admins.actifs"
"src/app/(admin)/admin/audit/page.tsx",187,"Volume charge","adminAdminAudit.volume.charge"
"src/app/(admin)/admin/audit/page.tsx",199,"Rechercher action, cible, admin, source","adminAdminAudit.rechercher.action.cible.admin.source"
"src/app/(admin)/admin/audit/page.tsx",209,"Aucun log trouve.","adminAdminAudit.aucun.log.trouve"
"src/app/(admin)/admin/avis-appels/page.tsx",60,"Une raison est obligatoire.","adminAdminAvisappels.raison.est.obligatoire"
"src/app/(admin)/admin/avis-appels/page.tsx",82,"Appel resolu.","adminAdminAvisappels.appel.resolu"
"src/app/(admin)/admin/avis-appels/page.tsx",90,"En revue","adminAdminAvisappels.revue"
"src/app/(admin)/admin/avis-appels/page.tsx",122,"Appels avis","adminAdminAvisappels.appels.avis"
"src/app/(admin)/admin/avis-appels/page.tsx",123,"Traitement des appels de moderation d avis.","adminAdminAvisappels.traitement.appels.moderation.d.avis"
"src/app/(admin)/admin/avis-appels/page.tsx",129,"Appels actifs","adminAdminAvisappels.appels.actifs"
"src/app/(admin)/admin/avis-appels/page.tsx",132,"Open + in_review.","adminAdminAvisappels.open.review"
"src/app/(admin)/admin/avis-appels/page.tsx",136,"SLA depasses","adminAdminAvisappels.sla.depasses"
"src/app/(admin)/admin/avis-appels/page.tsx",139,"Open &gt; 48h, in_review &gt; 72h.","adminAdminAvisappels.open.gt.48h.review.gt"
"src/app/(admin)/admin/avis-appels/page.tsx",143,"SLA a risque","adminAdminAvisappels.sla.risque"
"src/app/(admin)/admin/avis-appels/page.tsx",146,"Moins de 12h avant depassement.","adminAdminAvisappels.moins.12h.avant.depassement"
"src/app/(admin)/admin/avis-appels/page.tsx",150,"Resolus (7 jours)","adminAdminAvisappels.resolus.7.jours"
"src/app/(admin)/admin/avis-appels/page.tsx",153,"Cadence recente de traitement.","adminAdminAvisappels.cadence.recente.traitement"
"src/app/(admin)/admin/avis-appels/page.tsx",159,"File des appels","adminAdminAvisappels.file.appels"
"src/app/(admin)/admin/avis-appels/page.tsx",199,"Aucun appel pour ce filtre.","adminAdminAvisappels.aucun.appel.pour.ce.filtre"
"src/app/(admin)/admin/avis-signalements/page.tsx",93,"Note admin obligatoire pour rejeter ce signalement:","adminAdminAvissignalements.note.admin.obligatoire.pour.rejeter"
"src/app/(admin)/admin/avis-signalements/page.tsx",100,"Une note admin est obligatoire pour rejeter un signalement.","adminAdminAvissignalements.note.admin.est.obligatoire.pour"
"src/app/(admin)/admin/avis-signalements/page.tsx",114,"Une erreur est survenue.","adminAdminAvissignalements.erreur.est.survenue"
"src/app/(admin)/admin/avis-signalements/page.tsx",126,"Note admin obligatoire pour rejeter ces signalements:","adminAdminAvissignalements.note.admin.obligatoire.pour.rejeter"
"src/app/(admin)/admin/avis-signalements/page.tsx",135,"Une note admin est obligatoire pour rejeter un signalement.","adminAdminAvissignalements.note.admin.est.obligatoire.pour"
"src/app/(admin)/admin/avis-signalements/page.tsx",147,"Action reussie","adminAdminAvissignalements.action.reussie"
"src/app/(admin)/admin/avis-signalements/page.tsx",152,"Une erreur est survenue.","adminAdminAvissignalements.erreur.est.survenue"
"src/app/(admin)/admin/avis-signalements/page.tsx",161,"En attente","adminAdminAvissignalements.attente"
"src/app/(admin)/admin/avis-signalements/page.tsx",187,"Signalements avis","adminAdminAvissignalements.signalements.avis"
"src/app/(admin)/admin/avis-signalements/page.tsx",188,"Traitez les signalements rapidement et de facon tracee.","adminAdminAvissignalements.traitez.signalements.rapidement.facon.tracee"
"src/app/(admin)/admin/avis-signalements/page.tsx",202,"File de moderation","adminAdminAvissignalements.file.moderation"
"src/app/(admin)/admin/avis-signalements/page.tsx",267,"Marquer comme traite","adminAdminAvissignalements.marquer.comme.traite"
"src/app/(admin)/admin/avis-signalements/page.tsx",277,"Rejeter signalement","adminAdminAvissignalements.rejeter.signalement"
"src/app/(admin)/admin/blog/page.tsx",54,"Blog CMS","adminAdminBlog.blog.cms"
"src/app/(admin)/admin/blog/page.tsx",55,"Gestion des articles blog","adminAdminBlog.gestion.articles.blog"
"src/app/(admin)/admin/blog/page.tsx",68,"Label|/path","adminAdminBlog.label.path"
"src/app/(admin)/admin/blog/page.tsx",74,"slug-article (optionnel, auto-genere depuis le titre)","adminAdminBlog.slug.article.optionnel.auto.genere"
"src/app/(admin)/admin/blog/page.tsx",75,"Description SEO (40-320 caracteres)","adminAdminBlog.description.seo.40.320.caracteres"
"src/app/(admin)/admin/blog/page.tsx",95,"Contenu markdown...","adminAdminBlog.contenu.markdown"
"src/app/(admin)/admin/blog/page.tsx",173,"Passer en draft","adminAdminBlog.passer.draft"
"src/app/(admin)/admin/blog/page.tsx",222,"Mettre a jour","adminAdminBlog.mettre.jour"
"src/app/(admin)/admin/business-suggestions/page.tsx",142,"En attente","adminAdminBusinesssuggestions.attente"
"src/app/(admin)/admin/business-suggestions/page.tsx",144,"Approuvée","adminAdminBusinesssuggestions.approuvee"
"src/app/(admin)/admin/business-suggestions/page.tsx",146,"Rejetée","adminAdminBusinesssuggestions.rejetee"
"src/app/(admin)/admin/business-suggestions/page.tsx",179,"Succès","adminAdminBusinesssuggestions.succes"
"src/app/(admin)/admin/business-suggestions/page.tsx",197,"Impossible de traiter la suggestion.","adminAdminBusinesssuggestions.impossible.traiter.suggestion"
"src/app/(admin)/admin/business-suggestions/page.tsx",221,"Suggestions d'entreprises","adminAdminBusinesssuggestions.suggestions.d.entreprises"
"src/app/(admin)/admin/business-suggestions/page.tsx",230,"Tous les statuts","adminAdminBusinesssuggestions.tous.statuts"
"src/app/(admin)/admin/business-suggestions/page.tsx",233,"Tous les statuts","adminAdminBusinesssuggestions.tous.statuts"
"src/app/(admin)/admin/business-suggestions/page.tsx",234,"En attente","adminAdminBusinesssuggestions.attente"
"src/app/(admin)/admin/business-suggestions/page.tsx",235,"Approuvées","adminAdminBusinesssuggestions.approuvees"
"src/app/(admin)/admin/business-suggestions/page.tsx",236,"Rejetées","adminAdminBusinesssuggestions.rejetees"
"src/app/(admin)/admin/business-suggestions/page.tsx",262,"Toutes les suggestions","adminAdminBusinesssuggestions.toutes.suggestions"
"src/app/(admin)/admin/business-suggestions/page.tsx",273,"Aucune suggestion","adminAdminBusinesssuggestions.aucune.suggestion"
"src/app/(admin)/admin/business-suggestions/page.tsx",274,"Aucune suggestion d'entreprise ne correspond à vos critères.","adminAdminBusinesssuggestions.aucune.suggestion.d.entreprise.ne"
"src/app/(admin)/admin/business-suggestions/page.tsx",289,"Catégorie","adminAdminBusinesssuggestions.categorie"
"src/app/(admin)/admin/business-suggestions/page.tsx",291,"Suggérée par","adminAdminBusinesssuggestions.suggeree"
"src/app/(admin)/admin/business-suggestions/page.tsx",429,"Ajoutez des notes pour expliquer votre décision...","adminAdminBusinesssuggestions.ajoutez.notes.pour.expliquer.decision"
"src/app/(admin)/admin/categories/page.tsx",91,"Succès","adminAdminCategories.succes"
"src/app/(admin)/admin/categories/page.tsx",105,"Succès","adminAdminCategories.succes"
"src/app/(admin)/admin/categories/page.tsx",115,"Êtes-vous sûr de vouloir supprimer cette catégorie ? Cela supprimera également toutes ses sous-catégories.","adminAdminCategories.etes.vous.vouloir.supprimer.cette"
"src/app/(admin)/admin/categories/page.tsx",119,"Succès","adminAdminCategories.succes"
"src/app/(admin)/admin/categories/page.tsx",132,"Succès","adminAdminCategories.succes"
"src/app/(admin)/admin/categories/page.tsx",144,"Supprimer cette sous-catégorie ?","adminAdminCategories.supprimer.cette.sous.categorie"
"src/app/(admin)/admin/categories/page.tsx",148,"Succès","adminAdminCategories.succes"
"src/app/(admin)/admin/categories/page.tsx",166,"Taxonomie & Contenu","adminAdminCategories.taxonomie.contenu"
"src/app/(admin)/admin/categories/page.tsx",168,"Catégories","adminAdminCategories.categories"
"src/app/(admin)/admin/categories/page.tsx",212,"Rechercher une catégorie...","adminAdminCategories.rechercher.categorie"
"src/app/(admin)/admin/categories/page.tsx",224,"Chargement des données...","adminAdminCategories.chargement.donnees"
"src/app/(admin)/admin/categories/page.tsx",231,"Aucune catégorie trouvée","adminAdminCategories.aucune.categorie.trouvee"
"src/app/(admin)/admin/categories/page.tsx",239,"Nom / Slug","adminAdminCategories.nom.slug"
"src/app/(admin)/admin/categories/page.tsx",316,"Sous-Catégories","adminAdminCategories.sous.categories"
"src/app/(admin)/admin/categories/page.tsx",344,"Aucune sous-catégorie configurée pour ce secteur.","adminAdminCategories.aucune.sous.categorie.configuree.pour"
"src/app/(admin)/admin/categories/page.tsx",409,"Nom Public","adminAdminCategories.nom.public"
"src/app/(admin)/admin/categories/page.tsx",423,"ex: Restaurants & Cafés","adminAdminCategories.ex.restaurants.cafes"
"src/app/(admin)/admin/categories/page.tsx",427,"URL (Slug)","adminAdminCategories.url.slug"
"src/app/(admin)/admin/categories/page.tsx",433,"ex: restaurants-cafes","adminAdminCategories.ex.restaurants.cafes"
"src/app/(admin)/admin/categories/page.tsx",438,"Emoji / Icone","adminAdminCategories.emoji.icone"
"src/app/(admin)/admin/categories/page.tsx",460,"Activer la catégorie","adminAdminCategories.activer.categorie"
"src/app/(admin)/admin/categories/page.tsx",461,"Visible sur le site public","adminAdminCategories.visible.site.public"
"src/app/(admin)/admin/categories/page.tsx",501,"Nom Public","adminAdminCategories.nom.public"
"src/app/(admin)/admin/categories/page.tsx",514,"ex: Cuisine Italienne","adminAdminCategories.ex.cuisine.italienne"
"src/app/(admin)/admin/categories/page.tsx",518,"URL (Slug)","adminAdminCategories.url.slug"
"src/app/(admin)/admin/categories/page.tsx",539,"Afficher cette option","adminAdminCategories.afficher.cette.option"
"src/app/(admin)/admin/contenu/page.tsx",142,"Succès","adminAdminContenu.succes"
"src/app/(admin)/admin/contenu/page.tsx",150,"En attente","adminAdminContenu.attente"
"src/app/(admin)/admin/contenu/page.tsx",152,"Supprimé","adminAdminContenu.supprime"
"src/app/(admin)/admin/contenu/page.tsx",154,"Conservé","adminAdminContenu.conserve"
"src/app/(admin)/admin/contenu/page.tsx",166,"Audit de Contenu","adminAdminContenu.audit.contenu"
"src/app/(admin)/admin/contenu/page.tsx",168,"Signalés","adminAdminContenu.signales"
"src/app/(admin)/admin/contenu/page.tsx",181,"En attente","adminAdminContenu.attente"
"src/app/(admin)/admin/contenu/page.tsx",191,"Contenu à vérifier","adminAdminContenu.contenu.verifier"
"src/app/(admin)/admin/contenu/page.tsx",192,"Images et documents reportés pour non-conformité","adminAdminContenu.images.documents.reportes.pour.non"
"src/app/(admin)/admin/contenu/page.tsx",203,"Scanning media...","adminAdminContenu.scanning.media"
"src/app/(admin)/admin/contenu/page.tsx",210,"Galerie immaculée","adminAdminContenu.galerie.immaculee"
"src/app/(admin)/admin/contenu/page.tsx",211,"Tous les médias signalés ont été vérifiés par l'équipe.","adminAdminContenu.tous.medias.signales.ont.ete"
"src/app/(admin)/admin/contenu/page.tsx",218,"Aperçu","adminAdminContenu.apercu"
"src/app/(admin)/admin/contenu/page.tsx",219,"Établissement","adminAdminContenu.etablissement"
"src/app/(admin)/admin/contenu/page.tsx",223,"Décision","adminAdminContenu.decision"
"src/app/(admin)/admin/contenu/page.tsx",233,"Reported media","adminAdminContenu.reported.media"
"src/app/(admin)/admin/diagnostics/page.tsx",39,"System Check","adminAdminDiagnostics.system.check"
"src/app/(admin)/admin/diagnostics/page.tsx",40,"No automatic execution on page load.","adminAdminDiagnostics.no.automatic.execution.page.load"
"src/app/(admin)/admin/entreprises-signalements/page.tsx",88,"Note admin (optionnel) pour ce signalement:","adminAdminEntreprisessignalements.note.admin.optionnel.pour.ce"
"src/app/(admin)/admin/entreprises-signalements/page.tsx",120,"En attente","adminAdminEntreprisessignalements.attente"
"src/app/(admin)/admin/entreprises-signalements/page.tsx",135,"Signalements entreprises","adminAdminEntreprisessignalements.signalements.entreprises"
"src/app/(admin)/admin/entreprises-signalements/page.tsx",136,"Traitez les signalements de fiches etablissements.","adminAdminEntreprisessignalements.traitez.signalements.fiches.etablissements"
"src/app/(admin)/admin/entreprises-signalements/page.tsx",150,"File de moderation","adminAdminEntreprisessignalements.file.moderation"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",39,"Erreur de lecture CSV","adminAdminEtablissements.erreur.lecture.csv"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",40,"Le fichier contient des erreurs de formatage.","adminAdminEtablissements.fichier.contient.erreurs.formatage"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",83,"Import réussi","adminAdminEtablissements.import.reussi"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",91,"Échec de l'import","adminAdminEtablissements.echec.l.import"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",92,"Certaines erreurs sont survenues.","adminAdminEtablissements.certaines.erreurs.sont.survenues"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",98,"Erreur système","adminAdminEtablissements.erreur.systeme"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",99,"Une erreur inattendue est survenue.","adminAdminEtablissements.erreur.inattendue.est.survenue"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",126,"Importer des entreprises (CSV)","adminAdminEtablissements.importer.entreprises.csv"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",129,"name, category, city","adminAdminEtablissements.name.category.city"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",154,"Catégorie","adminAdminEtablissements.categorie"
"src/app/(admin)/admin/etablissements/import/csv-import-form.tsx",202,"Détails :","adminAdminEtablissements.details"
"src/app/(admin)/admin/etablissements/import/page.tsx",20,"Importation en masse","adminAdminEtablissements.importation.masse"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",49,"Succès","adminAdminHomepage.succes"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",66,"Nouvelle Collection","adminAdminHomepage.nouvelle.collection"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",74,"Idées pour le Ftour","adminAdminHomepage.idees.pour.ftour"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",78,"Les meilleurs endroits...","adminAdminHomepage.meilleurs.endroits"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",81,"Image URL","adminAdminHomepage.image.url"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",85,"Image Hint","adminAdminHomepage.image.hint"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",86,"Ramadan meal","adminAdminHomepage.ramadan.meal"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",90,"Type de lien","adminAdminHomepage.type.lien"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",93,"Type de filtre","adminAdminHomepage.type.filtre"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",96,"Filtre (tag)","adminAdminHomepage.filtre.tag"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",97,"Catégorie","adminAdminHomepage.categorie"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",99,"Lien personnalisé","adminAdminHomepage.lien.personnalise"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",107,"Tag (optionnel)","adminAdminHomepage.tag.optionnel"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",109,"Ex: ramadan-ftour","adminAdminHomepage.ex.ramadan.ftour"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",113,"Choisissez un tag existant ou saisissez un nouveau.","adminAdminHomepage.choisissez.tag.existant.ou.saisissez"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",117,"Catégorie (optionnel)","adminAdminHomepage.categorie.optionnel"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",121,"Choisir une catégorie","adminAdminHomepage.choisir.categorie"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",128,"Aucune catégorie","adminAdminHomepage.aucune.categorie"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",134,"Choisissez une catégorie ou sélectionnez ""Aucune catégorie"" pour réinitialiser.","adminAdminHomepage.choisissez.categorie.ou.selectionnez.aucune"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",140,"Ex: Télétravail, WiFi","adminAdminHomepage.ex.teletravail.wifi"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",144,"Séparez par des virgules pour plusieurs. Suggestions disponibles.","adminAdminHomepage.separez.virgules.pour.plusieurs.suggestions"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",151,"Catégorie","adminAdminHomepage.categorie"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",155,"Choisir une catégorie","adminAdminHomepage.choisir.categorie"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",162,"Aucune catégorie","adminAdminHomepage.aucune.categorie"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",168,"Sélectionnez ""Aucune catégorie"" pour réinitialiser.","adminAdminHomepage.selectionnez.aucune.categorie.pour.reinitialiser"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",174,"Ville (optionnel)","adminAdminHomepage.ville.optionnel"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",178,"Toutes les villes","adminAdminHomepage.toutes.villes"
"src/app/(admin)/admin/homepage/AddCollectionForm.tsx",185,"Toutes les villes","adminAdminHomepage.toutes.villes"
"src/app/(admin)/admin/homepage/AddFeaturedBusinessForm.tsx",74,"Succès","adminAdminHomepage.succes"
"src/app/(admin)/admin/homepage/AddFeaturedBusinessForm.tsx",74,"Entreprise ajoutée à la une.","adminAdminHomepage.entreprise.ajoutee"
"src/app/(admin)/admin/homepage/AddFeaturedBusinessForm.tsx",97,"Ajouter une entreprise à la une","adminAdminHomepage.ajouter.entreprise"
"src/app/(admin)/admin/homepage/AddFeaturedBusinessForm.tsx",105,"Rechercher une entreprise","adminAdminHomepage.rechercher.entreprise"
"src/app/(admin)/admin/homepage/AddFeaturedBusinessForm.tsx",108,"Nom ou ville...","adminAdminHomepage.nom.ou.ville"
"src/app/(admin)/admin/homepage/AddFeaturedBusinessForm.tsx",125,"Sélectionner une entreprise","adminAdminHomepage.selectionner.entreprise"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",70,"Succès","adminAdminHomepage.succes"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",81,"Succès","adminAdminHomepage.succes"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",92,"Succès","adminAdminHomepage.succes"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",123,"Activer/Désactiver la collection","adminAdminHomepage.activer.desactiver.collection"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",137,"Modifier la Collection","adminAdminHomepage.modifier.collection"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",152,"Image URL","adminAdminHomepage.image.url"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",156,"Image Hint","adminAdminHomepage.image.hint"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",161,"Type de lien","adminAdminHomepage.type.lien"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",164,"Type de filtre","adminAdminHomepage.type.filtre"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",167,"Filtre (tag)","adminAdminHomepage.filtre.tag"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",168,"Catégorie","adminAdminHomepage.categorie"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",170,"Lien personnalisé","adminAdminHomepage.lien.personnalise"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",178,"Tag (optionnel)","adminAdminHomepage.tag.optionnel"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",184,"Choisissez un tag existant ou saisissez un nouveau.","adminAdminHomepage.choisissez.tag.existant.ou.saisissez"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",188,"Catégorie (optionnel)","adminAdminHomepage.categorie.optionnel"
"src/app/(admin)/admin/homepage/CollectionRow.tsx",192,"Choisir une catégorie","adminAdminHomepage.choisir.categorie"
